Axis,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
73.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,581.0,584.0,581.0,584.0,581.0,581.0,581.0,578.0,581.0,581,578,578,578.0,581.0,578.0,578,581.0,63.0,578.0,581.0,584,584,583,583,583,583,583,583,583,584
74.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,581.0,581.0,581.0,578.0,581.0,581,581,578,578.0,581.0,578.0,578,581.0,82.0,578.0,581.0,584,584,583,583,583,583,583,583,583,584
75.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,584.0,581.0,581.0,578.0,581.0,581,581,578,578.0,581.0,578.0,578,581.0,82.0,578.0,581.0,584,584,582,583,584,584,584,583,583,584
76.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,584.0,581.0,581.0,578.0,581.0,581,581,581,578.0,581.0,578.0,578,581.0,81.0,578.0,581.0,584,584,583,583,584,585,584,584,584,584
77.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,584.0,581.0,581.0,581.0,581.0,581,581,581,581.0,581.0,581.0,578,581.0,580.0,580.0,584.0,584,584,583,583,584,585,584,584,584,584
78.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,584.0,581.0,581.0,581.0,581.0,581,581,581,581.0,581.0,581.0,578,581.0,578.0,581.0,584.0,584,584,583,583,584,585,584,584,585,584
79.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,584.0,584.0,581.0,584.0,584.0,584.0,581.0,581.0,581.0,580,581,581,581.0,581.0,581.0,578,581.0,578.0,581.0,584.0,584,584,583,584,584,585,584,585,585,585
80.0,584.0,584.0,584.0,584.0,584.0,584,584.0,584.0,584,584.0,584.0,584.0,584.0,584.0,584.0,584.0,581.0,581.0,581,581,581,581.0,581.0,581.0,578,581.0,578.0,581.0,584.0,584,584,583,585,585,585,584,584,585,585
81.0,584.0,584.0,584.0,584.0,584.0,584,584.0,584.0,584,584.0,584.0,584.0,584.0,584.0,584.0,584.0,581.0,584.0,581,581,581,581.0,581.0,581.0,578,584.0,578.0,581.0,584.0,584,584,584,585,585,585,584,584,585,585
82.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,583,584.0,584.0,584.0,584.0,584.0,584.0,584.0,581.0,584.0,584,581,581,581.0,581.0,581.0,578,584.0,578.0,581.0,584.0,584,584,584,585,585,585,584,585,585,585
83.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,584.0,584.0,584.0,584.0,584.0,584.0,584.0,581.0,584.0,584,581,581,581.0,581.0,584.0,578,584.0,581.0,581.0,584.0,584,584,584,585,585,585,584,585,585,585
84.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,584.0,584.0,584.0,584.0,584.0,584.0,584.0,581.0,584.0,584,584,581,584.0,581.0,584.0,578,584.0,581.0,581.0,587.0,584,587,584,585,585,585,584,585,585,585
85.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,584.0,584.0,584.0,585.0,584.0,584.0,584.0,581.0,584.0,584,584,584,584.0,581.0,584.0,578,584.0,581.0,581.0,587.0,584,587,585,585,584,585,584,585,585,585
86.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,584.0,584.0,584.0,587.0,585.0,584.0,584.0,581.0,584.0,584,584,584,584.0,581.0,584.0,578,584.0,581.0,584.0,584.0,584,584,585,585,584,585,585,585,585,585
87.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,587.0,584.0,584.0,587.0,587.0,584.0,584.0,584.0,584.0,584,584,584,584.0,581.0,584.0,583,584.0,581.0,584.0,584.0,587,584,585,585,584,585,585,586,585,585
88.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,587.0,584.0,584.0,587.0,587.0,584.0,584.0,584.0,584.0,584,584,584,584.0,584.0,584.0,587,584.0,581.0,584.0,584.0,587,584,585,585,584,586,585,588,585,585
89.0,584.0,584.0,584.0,584.0,584.0,584,584.0,587.0,587,587.0,584.0,584.0,587.0,587.0,584.0,584.0,584.0,584.0,584,584,584,584.0,584.0,584.0,581,584.0,581.0,584.0,584.0,587,584,585,585,584,588,585,588,585,585
90.0,587.0,587.0,587.0,587.0,587.0,587,584.0,587.0,587,587.0,587.0,584.0,587.0,587.0,584.0,584.0,584.0,584.0,581,584,584,584.0,584.0,584.0,581,584.0,187.0,584.0,584.0,587,587,585,585,584,589,589,589,585,585
91.0,587.0,587.0,587.0,587.0,587.0,587,587.0,588.0,588,587.0,588.0,584.0,588.0,587.0,587.0,584.0,584.0,584.0,581,584,584,584.0,584.0,584.0,581,587.0,186.0,587.0,587.0,587,588,585,584,584,589,589,589,585,589
92.0,587.0,587.0,587.0,587.0,587.0,587,587.0,588.0,584,588.0,588.0,584.0,588.0,587.0,587.0,584.0,584.0,587.0,581,584,584,584.0,584.0,584.0,581,587.0,189.0,587.0,587.0,587,588,585,584,589,589,589,589,585,589
93.0,587.0,587.0,587.0,587.0,587.0,587,587.0,588.0,584,588.0,588.0,584.0,588.0,587.0,587.0,584.0,584.0,587.0,581,584,584,584.0,584.0,584.0,581,587.0,186.0,587.0,587.0,587,588,585,589,589,589,589,589,585,589
94.0,588.0,588.0,588.0,588.0,588.0,588,587.0,588.0,584,588.0,588.0,584.0,588.0,588.0,587.0,584.0,584.0,587.0,584,584,587,584.0,584.0,584.0,581,587.0,219.0,587.0,587.0,588,588,585,589,589,589,589,589,585,590
95.0,588.0,588.0,588.0,588.0,588.0,588,587.0,588.0,584,588.0,588.0,584.0,588.0,588.0,587.0,587.0,584.0,587.0,584,584,591,584.0,584.0,584.0,584,587.0,220.0,588.0,587.0,588,588,585,590,589,589,589,589,589,590
96.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,584,588.0,588.0,584.0,588.0,588.0,587.0,587.0,584.0,587.0,584,584,583,584.0,584.0,750.0,586,587.0,220.0,588.0,587.0,588,588,585,590,589,589,589,589,589,590
97.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,584,588.0,588.0,584.0,588.0,588.0,587.0,587.0,584.0,587.0,584,584,583,584.0,584.0,751.0,584,588.0,220.0,588.0,587.0,588,588,585,590,589,589,589,590,589,590
98.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,584,588.0,588.0,588.0,588.0,588.0,587.0,587.0,584.0,588.0,584,584,584,584.0,584.0,752.0,584,588.0,220.0,588.0,785.0,588,588,585,590,589,589,589,590,589,590
99.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,584,588.0,588.0,588.0,588.0,588.0,588.0,587.0,584.0,588.0,584,584,584,584.0,584.0,712.0,584,588.0,220.0,588.0,594.0,588,588,589,590,590,590,590,590,590,590
100.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,588,588.0,588.0,588.0,588.0,588.0,588.0,587.0,589.0,588.0,584,584,588,587.0,584.0,712.0,584,588.0,222.0,588.0,595.0,588,588,589,590,590,590,590,590,590,590
101.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,588,588.0,588.0,588.0,588.0,588.0,588.0,588.0,589.0,588.0,588,588,588,587.0,584.0,712.0,584,588.0,276.0,588.0,595.0,588,588,590,590,590,590,590,591,590,590
102.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,588,588.0,588.0,588.0,588.0,588.0,588.0,588.0,589.0,588.0,588,588,588,588.0,587.0,759.0,584,588.0,276.0,587.0,595.0,589,588,590,590,590,591,591,591,591,591
103.0,588.0,588.0,588.0,588.0,588.0,588,588.0,588.0,588,589.0,588.0,588.0,588.0,588.0,588.0,588.0,589.0,588.0,588,588,588,588.0,588.0,760.0,584,589.0,267.0,588.0,588.0,589,588,590,589,590,591,591,591,591,591
104.0,588.0,588.0,588.0,588.0,588.0,588,589.0,588.0,588,589.0,588.0,588.0,589.0,588.0,588.0,588.0,589.0,588.0,588,588,588,588.0,588.0,846.0,584,589.0,267.0,588.0,588.0,589,588,590,589,590,591,591,591,591,591
105.0,589.0,589.0,589.0,589.0,589.0,589,589.0,588.0,589,589.0,589.0,588.0,589.0,588.0,588.0,588.0,589.0,588.0,588,588,588,588.0,588.0,846.0,584,589.0,267.0,588.0,588.0,589,589,590,589,590,591,591,591,591,591
